name,email,numberofabsences,datesofabsences
"Smith,John",smithj@cpts122.edu,1, 3/14/2016-
"Beck,Sara",sara@cpts122.edu,1, 3/14/2016-
"Leinart,Timothy",tim@cpts122.edu,1, 3/14/2016-
"Art,Bruce",bart@cpts122.edu,1, 3/14/2016-
"James,Hannah",jameshannah@cpts122.edu,1, 3/14/2016-
"Payton,Ella",epayton@cpts122.edu,1, 3/14/2016-
"Sam,Theo",samt@cpts122.edu,1, 3/14/2016-
"Smith,Jane",jane@cpts122.edu,1, 3/14/2016-
"Willis,Bruce",brucewillis@cpts122.edu,1, 3/14/2016-
"Mort,Kris",mort@cpts122.edu,1, 3/14/2016-
